,100s,4 Wickets in Inn,50s,Balls Faced,Balls_Average,Bat_Average,Bowl_Strike_rate,Ducks,Economy_Rate,Innings,Maidens,Matches,Not Outs,Opening Batting,Overs,Runs,Runs_Conceded,Strike Rate,Wickets,performance
0,0,0,0,15,38.09,8,34.55,1,6.62,3,1,9,2,0,63.2,8,419,53.33,11,65
1,3,11,23,6252,31.84,29.71,40.67,14,4.7,228,106,265,57,3,1823.3,5080,8564,81.25,269,75
2,0,9,1,0,29.3,13.67,38.48,12,4.57,97,70,153,40,0,1327.3,779,6065,0,207,81
3,0,1,0,263,38.07,8.35,54.13,4,4.22,23,12,31,6,0,270.4,142,1142,53.99,30,61
4,0,0,0,166,51.75,20.57,54,2,5.75,8,2,9,1,0,72,144,414,86.75,8,42
5,0,12,3,1574,27.85,14.59,32.93,10,5.07,113,100,191,26,0,1580.4,1269,8021,80.62,288,80
6,0,0,0,17,30.73,4.5,34.36,0,5.37,3,2,8,1,0,63,9,338,52.94,11,60
7,6,0,14,3614,70,32.56,57.5,7,7.3,81,0,81,1,80,19.1,2605,140,72.08,2,59
8,0,0,0,27,34,0,39.25,0,5.2,5,1,12,5,0,78.3,14,408,51.85,12,61
9,0,0,0,60,28.82,6.5,34.59,0,5,8,5,11,2,0,98,39,490,65,17,80
10,0,2,0,20,24.9,2,28.71,2,5.2,7,7,14,5,0,100.3,4,523,20,21,91
11,0,0,0,3,0,1,0,0,0,1,0,1,0,0,0,1,0,33.33,0,10
12,3,1,5,1589,47.03,26.11,54.05,3,5.22,74,10,92,11,21,702.4,1645,3668,103.52,78,51
13,0,0,0,52,0,6.25,0,0,5.7,4,0,4,0,0,23,25,131,48.08,0,13
14,0,1,0,94,25.4,3.29,38.8,1,3.93,16,22,31,9,0,258.4,23,1016,24.47,40,76
15,0,0,0,73,34.73,10.33,40.82,1,5.1,6,4,9,3,0,74.5,31,382,42.47,11,62
16,0,0,3,680,0,30.59,0,0,0,17,0,17,0,16,7,520,0,76.47,0,45
17,0,0,1,267,67.56,19.92,68.67,1,5.9,13,4,15,1,1,103,239,608,89.51,9,38
18,27,0,37,8865,0,49.75,0,4,0,171,0,174,12,168,83,7910,0,89.23,0,89
19,1,3,4,1020,25.03,27.73,24.75,4,6.07,44,10,49,4,0,247.3,1109,1502,108.73,60,76
20,0,0,0,267,0,18.88,0,0,4,8,0,8,0,3,5,151,20,56.55,0,18
21,0,13,0,561,29.22,7.58,35.63,10,4.92,79,125,194,43,0,1597.2,273,7861,48.66,269,85
22,1,0,8,2830,30.33,21.71,46.33,6,3.93,90,1,96,7,0,23.1,1802,91,63.67,3,63
23,0,0,0,53,0,7,0,1,0,2,0,2,0,0,0,14,0,26.42,0,9
24,0,1,1,776,32.91,16.07,40.14,6,4.92,61,35,111,19,0,1003.3,675,4937,86.98,150,74
25,0,0,1,153,0,28.57,0,0,0,8,0,11,1,0,2,200,0,130.72,0,38
26,11,0,59,12594,0,37.57,0,13,4.82,259,0,268,32,92,8.3,8529,41,67.72,0,66
27,3,0,12,2478,65,36.9,64.5,3,6.05,53,0,53,3,41,43,1845,260,74.46,4,67
28,0,5,3,1988,39.13,18.11,50.75,9,4.63,110,56,143,26,2,1040.2,1521,4813,76.51,123,60
29,8,0,10,2908,0,51.29,0,2,0,57,0,59,9,2,29,2462,0,84.66,0,94
30,0,0,8,999,0,39.2,0,3,9,22,0,22,2,0,1,784,9,78.48,0,69
31,0,0,0,172,0,15.8,0,0,0,6,0,7,1,0,2,79,0,45.93,0,16
32,2,0,16,2996,0,37.06,0,2,0,60,0,62,7,0,1,1964,0,65.55,0,67
33,0,0,0,29,141.5,7.67,147,0,5.78,4,0,8,1,0,49,23,283,79.31,2,6
34,0,0,0,339,30.64,14.67,35.25,3,5.21,22,13,32,7,0,258.3,220,1348,64.9,44,60
35,3,0,22,3645,13,40.59,0,3,0,85,0,90,10,0,48,3044,0,83.51,0,73
36,6,0,8,2017,0,46.04,0,3,0,54,0,59,8,32,16,2118,0,105.01,0,84
37,0,0,0,23,32.27,6.5,38.73,1,5,4,6,10,2,0,71,13,355,56.52,11,73
38,0,1,0,152,39.53,12,42.56,2,5.57,16,12,30,6,0,241.1,120,1344,78.95,34,61
39,0,1,0,89,37.33,7.38,39.5,0,5.67,8,1,10,0,0,79,59,448,66.29,12,61
40,2,0,7,1786,34,27.13,30,3,6.8,49,0,52,3,7,10,1248,68,69.88,2,78
41,0,1,0,49,46.67,9.5,45.1,2,6.21,6,5,18,2,0,157.5,38,980,77.55,21,85
42,0,0,2,443,0,21.21,0,1,0,15,0,16,1,0,8,297,0,67.04,0,10
43,0,2,0,224,34.22,12.31,40.83,3,5.03,17,3,31,4,0,245,160,1232,71.43,36,68
44,0,0,0,3,83,0,60,0,8.3,1,0,1,1,0,10,1,83,33.33,1,5
45,0,0,6,1097,51.36,30.69,53.43,4,5.77,49,2,59,14,0,124.4,1074,719,97.9,14,44
46,0,0,0,1,45.67,0,56.67,0,4.84,1,3,3,1,0,28.2,1,137,100,3,51
47,4,0,35,7019,14.67,37.87,14.67,6,6,157,0,161,14,76,14.4,5416,88,77.16,6,68
48,0,3,0,240,49.05,7.91,61.21,5,4.81,30,15,47,7,0,397.5,182,1913,75.83,39,51
49,0,2,0,35,23,5,26.59,1,5.19,7,4,16,5,0,119.4,10,621,28.57,27,88
50,0,2,0,125,34.03,9.5,38.24,1,5.34,16,9,26,8,0,216.4,76,1157,60.8,34,63
51,0,0,2,298,0,22.58,0,1,0,12,0,15,0,4,9,271,0,90.94,0,25
52,0,1,1,246,21.95,28.75,24.5,1,5.38,11,4,14,3,0,81.4,230,439,93.5,20,43
53,0,0,0,248,43.89,10,53.21,8,4.95,25,8,42,10,0,337,150,1668,60.48,38,55
54,0,0,1,465,36.58,14.93,51.25,6,4.28,29,8,34,2,0,205,403,878,86.67,24,61
55,0,0,0,23,0,5.5,0,0,5.33,2,0,2,0,0,3,11,16,47.83,0,4
56,0,0,0,22,45.31,3,44.75,1,6.08,4,3,14,1,0,119.2,9,725,40.91,16,55
57,0,5,0,54,23.9,8.33,31.32,1,4.58,8,28,39,2,0,323.4,50,1482,92.59,62,81
58,0,11,0,384,20.88,16.22,29.22,2,4.29,40,87,82,22,0,715.5,292,3070,76.04,147,88
59,1,1,14,3462,39.05,30.63,47.69,4,4.91,109,11,120,21,14,310,2695,1523,77.85,39,65
60,0,1,0,192,26.13,14,27.4,2,5.72,11,0,12,4,1,68.3,98,392,51.04,15,83
61,0,1,5,1175,35.22,22.31,43.02,5,4.91,50,10,58,5,0,329.5,1004,1620,85.45,46,61
62,0,0,0,16,0,9,0,0,8,2,0,2,0,0,9,18,72,112.5,0,6
63,0,0,2,305,0,25.08,0,2,0,12,0,14,0,11,3,301,0,98.69,0,23
64,0,2,2,970,27,19.59,37.14,5,4.36,38,22,42,4,2,260,666,1134,68.66,42,77
65,0,1,0,710,40.5,19.03,53.1,2,4.58,50,13,78,18,0,637.1,609,2916,85.77,72,60
66,1,0,26,5528,0,28.57,0,16,0,221,0,295,57,2,1,4686,0,84.77,0,34
67,0,10,0,190,24.71,9.6,29.18,1,5.08,35,54,79,20,0,715,144,3632,75.79,147,89
68,0,7,0,282,24.37,11.65,33.1,5,4.42,35,90,116,18,0,959.5,198,4240,70.21,174,88
69,0,2,1,452,43.61,14.41,47.74,1,5.48,29,11,33,2,0,246.4,389,1352,86.06,31,45
70,0,0,1,483,140,27.8,152,0,5.53,10,0,10,0,7,25.2,278,140,57.56,1,31
71,2,7,10,3606,29.52,25.37,32.72,11,5.41,141,41,164,24,3,1085.1,2968,5874,82.31,199,85
72,3,14,18,3974,0,32,0,7,0,98,0,102,11,2,31,2784,0,70.06,0,59
73,0,4,1,965,34.98,19.8,38.72,6,5.42,64,35,85,20,0,703.3,871,3813,90.26,109,61
74,0,10,0,709,30.13,12.3,34.32,8,5.27,68,56,121,25,0,1018.1,529,5364,74.61,178,74
75,0,5,0,34,21.24,2.75,28.4,3,4.49,6,26,45,2,0,378.4,11,1699,32.35,80,95
76,0,0,0,224,40.5,15.44,41,1,5.93,11,0,13,2,0,13.4,139,81,62.05,2,50
77,0,1,0,154,37.07,10.5,39.61,2,5.62,13,6,26,5,0,184.5,84,1038,54.55,28,64
78,7,0,18,2862,0,40.81,0,11,0,105,0,127,22,0,0,3387,0,118.34,0,71
79,0,0,0,180,0,15.56,0,2,0,11,0,17,2,0,2,140,0,77.78,0,30
80,0,0,0,186,0,12.67,0,0,0,9,0,11,0,6,1,114,0,61.29,0,26
81,0,0,3,764,47,22.78,41.33,1,6.82,25,0,28,2,0,20.4,524,141,68.59,3,54
82,0,0,0,6,26.4,0,35,1,4.53,1,1,3,0,1,29.1,0,132,0,5,78
83,0,0,0,23,0,1,0,0,0,2,0,2,0,2,1,2,0,8.7,0,5
84,0,0,0,134,0,7.5,0,1,0,8,0,8,0,0,2,60,0,44.78,0,6
85,0,3,0,66,23.83,11.33,29.76,0,4.8,6,12,40,3,0,352.1,34,1692,51.52,71,89
