,Name
0,Varun R Aaron
1,Abdul Razzaq
2,Abdur Razzak
3,Abdur Rehman
4,Ashton C Agar
5,Ajit B Agarkar
6,Khaleel Khursheed Ahmed
7,Ahmed Shehzad
8,Ahsan Malik
9,Ajmal Shahzad
10,Al-Amin Hossain
11,Alawi Shukri
12,Moeen Munir Ali
13,Fabian Anthony Allen
14,Amir Hamza
15,Amir Hayat
16,Amjad Ali
17,Amjad Javed
18,Hashim Mahomed Amla
19,Corey J Anderson
20,John Anderson
21,James M Anderson
22,Mohammad Asghar Afghan
23,Asghar Ali
24,Ravichandran Ashwin
25,Asif Ali
26,Marvan S Atapattu
27,Azhar Ali
28,Azhar Mahmood
29,Babar Azam
30,Babar Hayat
31,Subramaniam Badrinath
32,Ashish Bagai
33,Sairaj V Bahutule
34,Harvir S Baidwan
35,George John Bailey
36,Jonathan M Bairstow
37,Lionel S Baker
38,Lakshmipathy Balaji
39,W Dorakanti Balaji Rao
40,Andrew Balbirnie
41,Jacob T Ball
42,Gary S Ballance
43,C Malinga Bandara
44,Konara Mudiyanselage Chaminda Bandara
45,Farhaan Behardien
46,Jason Paul Behrendorff
47,Ian R Bell
48,Sulieman J Benn
49,Hamish K Bennett
50,Tino L Best
51,Samuel William Billings
52,Stuart T R Binny
53,Devendra Bishoo
54,Ian D Blackwell
55,Jermaine Blackwood
56,Scott M Boland
57,Douglas E Bollinger
58,Shane E Bond
59,Ravinda S Bopara
60,Delyone C Borden
61,Peter W Borren
62,Scott G Borthwick
63,Lungile L  Bosman
64,Andre C Botha
65,Johan Botha
66,Mark V Boucher
67,Trent Alexander Boult
68,Nathan W Bracken
69,Carlos Ricardo Brathwaite
70,Kraigg Clairmonte Brathwaite
71,Dwayne J J Bravo
72,Darren M Bravo
73,Timothy T Bresnan
74,Stuart C J  Broad
75,Jasprit J Bumrah
76,Ryan Ponsonby Burl
77,Ian G Butler
78,Joseph C Buttler
79,Atse F Buurman
80,Christopher Carter
81,Jonathan Lyndon Carter
82,Neil M Carter
83,Hilton W R Cartwright
84,James J Celestine
85,Yuzvendra S Chahal
86,Deepak Lokandersingh Chahar
87,Regis W Chakabva
88,Stuart J Chalmers
89,Pathira Vasan Dushmantha Chameera
90,Umagiliya D U Chandana
91,Shivnarine Chanderpaul
92,Lokuge Dinesh Chandimal
93,Johnson Charles
94,Peter K D Chase
95,Roston L Chase
96,Tendai Larry Chatara
97,Piyush Pramod Chawla
98,C Justice Chibhabha
99,Elton Chigumbura
100,Michael T Chinouya
101,Chirag Suri
102,Tendai S Chisoro
103,Daniel T Christian
104,Kyle Christie
105,Stuart R Clark
106,Michael J Clarke
107,Paul D Collingwood
108,Alastair N Cook
109,Tom L W Cooper
110,Sheldon S Cottrell
111,Nathan M Coulter-Nile
112,Charles K Coventry
113,Alexander Graeme Cremer
114,Matthew Henry Cross
115,Patrick J Cummins
116,Samuel Matthew Curran
117,Thomas Kevin Curran
118,Alex R Cusack
119,Benjamin C J Cutting
120,Keith M Dabengwa
121,Damodar Daesrath
122,Vijay Dahiya
123,Mahuru D Dai
124,Carl Junior Dala
125,Ramesh R David
126,Henry Davids
127,Dawlat Zadran
128,Jawad J Dawood
129,Alan C Dawson
130,Liam A Dawson
131,Colin de Grandhomme
132,Quinton de Kock
133,Con de Wet de Lange
134,Marchant de Lange
135,Bas de Leede
136,Dhananjaya Maduranga de Silva
137,Abraham B de Villiers
138,Rishi Dhawan
139,Shikhar Dhawan
140,Haninder S Dhillon
141,Dhiman Ghosh
142,Mahendra Singh Dhoni
143,Tillakaratne Mudiyanselage Dilshan
144,Ashok B Dinda
145,Hendrik H Dippenaar
146,George Henry Dockrell
147,Xavier J Doherty
148,Dolar Mahmud
149,Rahul Dravid
150,Francois du Plessis
151,Ben M Duckett
152,Jean-Paul Duminy
153,Dean Elgar
154,Elias Sunny
155,Grant D Elliott
156,Fakhar Zaman
157,Fareed Ahmad
158,Farhad Reza
159,Abdus S Faridi
160,James Peter Faulkner
161,Fawad Ahmed
162,Fawad Alam
163,Fayyaz Ahmed
164,Faiz Yakub Fazal
165,Fazle Mahmud
166,Callum J Ferguson
167,Lachlan Hammond Ferguson
168,Nizel Fernandes
169,Asitha Madusanka Fernando
170,Congenige Randhi Dilhara Fernando
171,Muthuthanthrige Vishwa Thilina Fernando
172,Aaron James Finch
173,Shawn E Findlay
174,Steven Thomas Finn
175,Ryan Flannigan
176,Stephen P Fleming
177,Andre D S Fletcher
178,James E C Franklin
179,Gautam Gambhir
180,Sourav C Ganguly
181,Hamish J W Gardiner
182,Christopher H Gayle
183,Herschelle Herman Gibbs
184,Adam C Gilchrist
185,Manpreet Gony
186,Gulbadin Naib
187,Downdegedara Asela Sampath Gunaratne
188,Mashtayage Danushka Gunathilaka
189,Martin J Guptill
190,Gurdeep Singh
191,Gurkeerat Singh
192,Harry F Gurney
193,Bradley James Haddin
194,Alexander D Hales
195,Peter Stephen Patrick Handscomb
196,Hannan Sarkar
197,Amarbir S Hansra
198,Rana M Haq
199,Harbhajan Singh
200,Haris Sohail
201,Stephen J Harmison
202,Hasan Ali
203,Matthew L Hayden
204,Josh Reginald Hazlewood
205,Hazratullah Zazai
206,Travis M Head
207,Matthew J Henry
208,Herath Mudiyanselage Rangana Keerthi Bandara Herath
209,Shimron Odilon Hetmeyer
210,Benjamin William Hilfenhaus
211,Jason Omar Holder
212,Shai Diego Hope
213,James R Hopes
214,Gareth J Hopkins
215,Phillip Joel Hughes
216,David J Hussey
217,Michael E K Hussey
218,Danza P Hyatt
219,Nicholas Ifill
220,Iftikhar Ahmed
221,Iftikhar Anjum
222,Ihsanullah Janat
223,Imad Wasim
224,Imam-ul-Haq
225,Imran Farhat
226,Imran Haider
227,Mohammad Imran Tahir
228,Imrul Kayes
229,Colin A Ingram
230,Peter J Ingram
231,Inzamam-ul-Haq
232,Moneeb M Iqbal
233,Shreyas S Iyer
234,Izatullah Dawlatzai
235,Ravindrasinh Anirudhsinh Jadeja
236,Kedar M Jadhav
237,Wasim Jaffer
238,Sanath Teran Jayasuriya
239,Denagamage Proboth Mahela de Silva Jayawardene
240,Mitchell G Johnson
241,Christopher J Jordan
242,Alzarri S Joseph
243,Davis Joseph
244,Sylvester C Joseph
245,Sunil B Joshi
246,Dominick I Joyce
247,Edmund Christopher Joyce
248,Jubair Hossain
249,Junaid Khan
250,Junaid Siddique
251,Junaid Siddiqui
252,Junaid Zia
253,Sandeep Jyoti
254,Kabir Ali
255,Mohammad Kaif
256,Jacques H Kallis
257,Kamran Akmal
258,Kamran Hussain
259,Kamran Shahzad
260,Tafadzwa Kamungozi
261,Tinashe Stephen Kamunhukamwe
262,Kenneth Kamyuka
263,Sahan Hewa Thilina Kandamby
264,Arvindah L Kandappah
265,Danish Kaneria
266,Chamara Kantha Kapugedera
267,Karan Khatri Chhetri
268,Morne Karg
269,Aasif Y Karim
270,Irfan A Karim
271,Krishnakumar Dinesh Karthik
272,Murali Kartik
273,Frank Dimuth Madushanka Karunaratne
274,Kashif Raza
275,Michael S Kasprowicz
276,Friday Kasteni
277,Eion Katchay
278,Simon M Katich
279,Siddarth Kaul
280,Paskuwal Handi Tharindu Kaushal
281,Stefan K W Kelly
282,Justin M Kemp
283,Robert J Kennedy
284,John C Kent
285,Martin F Kent
286,Robert B Kerr
287,Alexei N Kervezee
288,Shaheed Keshvani
289,Daniel Keulder
290,Robert W T Key
291,Paras Khadka
292,Subash Prasad Khakurel
293,Khaled Mahmud
294,Khaled Mashud
295,Khalid Khan
296,Khalid Latif
297,Khaliq Dad
298,Zaheer Khan
299,Surinder C Khanna
300,Usman T Khawaja
301,Gagan K Khoda
302,Amay R Khurasiya
303,Khurram Chohan
304,Khurram Khan
305,Khurram Manzoor
306,Gary E Kidd
307,Craig Kieswetter
308,Jason Kila
309,Collis L King
310,Reon D King
311,Vivian J Kingma
312,Syed M H Kirmani
313,Gary Kirsten
314,Peter N Kirsten
315,Robert J Kirtley
316,Heinrich Klaasen
317,Frederick Jack Klaassen
318,Rory K Kleinveldt
319,Jan F Kloppenburg
320,Lance Klusener
321,Nicholas V Knight
322,Alan P E Knott
323,Louis J Koen
324,Virat Kohli
325,Bjorn L Kotze
326,Deon B Kotze
327,Jason J Krejza
328,Krishna Chandran
329,Pallemoni Krishnamurthy
330,Bradley P Kruger
331,Courtney K Kruger
332,Garnett J-P Kruger
333,Neil Kruger
334,Christopher M Kuggeleijn
335,Scott Christopher Kuggeleijn
336,Adrian P Kuiper
337,Chamith K B Kulasekara
338,Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara
339,Kuldeep Yadav
340,Dhawal S Kulkarni
341,Nilesh M Kulkarni
342,Rajiv R Kulkarni
343,Bhuvneshwar Kumar
344,Nitish R Kumar
345,Praveenkumar Sakat Singh
346,Chandradasa Brahammana Ralalage Lahiru Sudesh Kumara
347,Thirunavukkar A S U Kumaran
348,Anil  Kumble
349,Don S B P Kuruppu
350,Abey Kuruvilla
351,Kwame Tucker
352,Graeme F Labrooy
353,Bruce M Laird
354,Ranasinghe Arachchige Suranga Lakmal
355,Materba K G C P Lakshitha
356,S B Lama
357,Allan J Lamb
358,Gregory A Lamb
359,Raman Lamba
360,Clayton B Lambert
361,Sandeep Lamichhane
362,John P R Lamsam
363,Justin L Langer
364,Charl K Langeveldt
365,Dave Langford-Smith
366,Brian C Lara
367,Wayne Larkins
368,Gavin Rolf Larsen
369,Rodney T Latham
370,Thomas William Maxwell Latham
371,Ben Laughlin
372,Trevor J Laughlin
373,Stuart G Law
374,David V Lawrence
375,William M Lawry
376,Geoffrey Francis Lawson
377,Jermaine J C Lawson
378,Vangipurappu Venkata Sai Laxman
379,Michael A Leask
380,Brett Lee
381,Shane Lee
382,Warren K Lees
383,Roland P Lefebvre
384,Darren S Lehmann
385,John K Lever
386,Peter Lever
387,Russell D M Leverock
388,Clairmonte C Lewis
389,Evin Lewis
390,Johnathan Lewis
391,Michael L  Lewis
392,Rawl N Lewis
393,Liaqat Ali
394,Gerhardus F J Liebenberg
395,Dennis K Lillee
396,Liton Das
397,Dulip K Liyanage
398,Clive H Lloyd
399,David Lloyd
400,Graham D Lloyd
401,Timothy A Lloyd
402,Alan C I Lock
403,Douglas R Lockhart
404,Augustine L Logie
405,Kaushal S Lokuarachchi
406,Christopher H Lonsdale
407,Bernard P Loots
408,Alexander G R Loudon
409,Johann Louw
410,Jan L Louw
411,James D Love
412,Malachy B Loye
413,Steven W Lubbers
414,Brian W Luckhurst
415,Michael J Lumb
416,Alfred S Luseno
417,Monte A Lynch
418,Christopher A Lynn
419,Nathan Michael Lyon
420,Ross T Lyons
421,Stuart C G MacGill
422,Matthew W Machan
423,Angus J Mackay
424,John A Maclean
425,Kenneth H MacLeay
426,Calum Scott MacLeod
427,Neil J MacRae
428,Sharma Madan Lal
429,Darren L Maddy
430,Trevor N Madondo
431,Ranjan Senerath Madugalle
432,Arachchige W R Madurasinghe
433,Devapurage Shehan Madushanka Kumara
434,Lahiru Dilshan Madushanka
435,Neville Madziva
436,Mafizur Rahman
437,John N Maguire
